committee_id,event
C00653675,2275.3
C00667808,410.76
C00637660,4194.38
C00498873,149707.12
C00558486,56588.24
C00313510,10114.3
C00096412,27797.12
C00412890,3330.65
C00648956,2855.9
C00670224,300
C00657981,6052
C00575167,19871.67
C00656686,17228.33
C00395467,5800.56
C00462861,19011.82
C00660464,9202.32
C00648741,5264.6
C00669069,8076.97
C00444224,5754.6900000000005
C00557520,13714.98
C00669671,209.55
C00581090,10161.9
C00640045,8725.55
C00390476,78432
C00654723,12879.23
C00610212,100067.71
C00558320,6125.83
C00657676,8727.65
C00684324,343.46
C00676726,2119.34
C00581058,18770.52
C00393629,150398.41
C00665984,2198.26
C00494203,17326.52
C00543231,17919.52
C00639773,23213.98
C00494583,70658.47
C00662528,3164.84
C00494856,10119.52
C00652446,1198.8
C00665802,32837.89
C00673533,6551.41
C00668228,6748.84
C00494930,10593.28
C00667964,4404.96
C00649806,4032.2400000000002
C00666404,1451.07
C00495846,9453.12
C00648816,24466.61
C00495952,104936.19
C00481911,8700.97
C00461806,7447.24
C00460055,12871.880000000001
C00664417,7631.63
C00469163,42400.18
C00668285,896.5
C00639732,2838.2999999999997
C00652594,6554.4
C00581074,28630.14
C00497115,47531.94
C00497396,6226.7
C00509422,76607.89
C00498121,99424.15
C00497933,51366.08
C00498667,56635.33
C00498212,5057.56
C00498345,13984.55
C00331769,202442.24
C00536680,182763.57
C00665836,16251.84
C00499236,59875.29
C00499392,157765.31
C00499467,28417.73
C00499053,19932.96
C00476523,29611.81
C00665513,36174.53
C00546846,58041.81
C00500207,38871.18
C00500421,25310.34
C00610451,58355.83
C00548180,18014.55
C00502179,2861.47
C00502575,116603.36
C00502229,4189.74
C00502294,112196.38
C00502039,183991.34
C00503094,5609.75
C00503110,5397.34
C00503185,2230
C00504019,39050.77
C00504522,97890.44
C00502773,456.96999999999997
C00503052,134412.71
C00473272,170435.41
C00546853,356249.39
C00505776,59128.21
C00506048,210099.75
C00657445,3200
C00507368,119315.19
C00582890,32617.68
C00506287,1426.22
C00506832,87951.5
C00506931,44395.89
C00634014,1425.18
C00289603,376121.98
C00647339,27412.49
C00658146,13929.69
C00545616,146801.95
C00659078,16123.93
C00391029,71783.46
C00336388,76073.52
C00608703,179808.17
C00656959,1250
C00330894,371026.77
C00497321,73403.09
C00589234,24710.78
C00366948,16337.86
C00665638,21409.58
C00646828,936.8800000000001
C00648998,13689.37
C00629287,73026.11
C00631747,8224.650000000001
C00554113,25860.03
C00238865,45466.74
C00637918,8049.55
C00641126,7265.139999999999
C00539866,132107.42
C00445023,475855.15
C00640110,2660.27
C00410639,65107.13
C00659748,5155
C00641605,732.62
C00653253,3878.39
C00607523,1175
C00548941,25559.600000000002
C00304709,80317.77
C00359034,267361.69
C00269837,123168.59
C00640227,150
C00557652,24900.420000000002
C00313247,174532.85
C00649038,6008.91
C00410233,38431.29
C00433524,22470.02
C00653949,1837.1299999999999
C00551374,73519.28
C00311639,117245.56
C00656256,2708.62
C00614305,2724.01
C00397737,28274.89
C00649657,1356.76
C00588871,2500
C00653162,2405.14
C00638775,3983.1600000000003
C00653824,298.11
C00646521,605
C00639153,326.65
C00658260,1288.75
C00572602,548
C00597005,100
C00331397,270202.18
C00648287,3339.77
C00550707,23779.94
C00633172,1983.96
C00629956,34046.75
C00311043,319116.21
C00654632,1815.9699999999998
C00649749,218.38
C00616573,736.42
C00588657,57337.11
C00657015,26495.01
C00527457,14722.41
C00657551,779.9
C00443580,6250
C00461822,39705.95
C00250720,2350
C00299404,55845.909999999996
C00648014,8138.5999999999995
C00615294,16828.15
C00639963,827.5
C00654350,350
C00386847,15589.869999999999
C00259143,61710.09
C00578302,13273.8
C00561001,25173.89
C00647222,5448.23
C00241349,10987.15
C00345546,142247.31
C00257956,33043.14
C00651224,2929.67
C00464149,12134.1
C00195065,11985.18
C00477240,55427.92
C00647925,6106.84
C00647016,877.85
C00633362,118736.56
C00636324,4945.37
C00653196,401590.08
C00435974,54652.98
C00640003,79590.91
C00479063,12544.43
C00667444,236.19
C00558437,64670.03
C00641191,19234.52
C00650697,4010
C00658385,71660.8
C00636670,11942.27
C00434191,88206.38
C00457556,79196.38
C00648725,49969.020000000004
C00364935,113631.96
C00472159,70359.79
C00468579,20291.059999999998
C00200584,202740.24
C00640714,21009.59
C00652297,6614.6900000000005
C00394957,6072.7
C00637868,12057.82
C00545749,51073.59
C00338954,58530.2
C00509729,22782.05
C00638536,5690.6
C00472704,13098.75
C00459099,140028.98
C00665711,5394.12
C00637876,1052.16
C00551275,158940.35
C00638650,13048.51
C00636696,21232.59
C00414318,24076.45
C00514893,122888.19
C00633867,16121.38
C00650077,5343.2
C00654509,20379.81
C00650234,5360.41
C00607101,43194.07
C00649129,2116.37
C00546499,101934.88
C00661587,625.19
C00513531,45691.61
C00652628,14681.23
C00661579,295
C00632943,2061.5299999999997
C00650473,4148.05
C00547240,135570.27
C00636621,2875.6
C00472365,238878.35
C00655332,11390.68
C00658336,18648.7
C00650515,54.54
C00639286,1560.48
C00371203,124533.55
C00472241,83154.7
C00509968,60713.92
C00651331,16080.77
C00658724,1950
C00662817,5016.39
C00167585,69585.29
C00640763,9427.47
C00660522,162.38
C00646901,2464.86
C00634873,1892.96
C00451336,43074.05
C00637967,15534.89
C00592659,24649.010000000002
C00647693,2050
C00652248,57524.87
C00411660,14362.47
C00651315,1405.35
C00226522,493447.03
C00671842,1975.33
C00650671,9794.32
C00303305,220834.19
C00650176,10069.93
C00575209,12002.8
C00473132,10877.93
C00647875,3910
C00657411,64675.68
C00654699,13.76
C00650150,59786.55
C00557181,6558.58
C00446906,117969.74
C00640268,15672.87
C00554014,56503.23
C00670844,8435
C00664524,391.73
C00658021,30790.79
C00509299,1450
C00652396,19757.05
C00445452,178505.64
C00657437,11223.54
C00558627,38955.06
C00661686,1705.58
C00641431,4005.86
C00649376,10026.66
C00675157,4665.929999999999
C00657304,14747.42
C00418293,64383.2
C00675959,1000
C00664466,1401
C00667840,1918.93
C00666438,656.0600000000001
C00665828,1250
C00373563,62871.43
C00543967,199140.05
C00409219,84854.68
C00661777,28800.92
C00202416,112266.22
C00466870,86376.71
C00663542,649.74
C00599464,30300.45
C00475145,12470.85
C00560847,7269.29
C00668798,1650
C00632828,72732.21
C00663245,2500
C00655134,8913.45
C00572560,15615.35
C00664821,250
C00647727,3184.8199999999997
C00636951,1550
C00219881,28418.85
C00271312,53288.99
C00412759,76467.09
C00637546,25186.58
C00673681,9431.28
C00420745,10692.61
C00460899,17187.42
C00676502,1450
C00590778,101228.68
C00666735,3511.92
C00590489,18368.11
C00657122,479.97
C00459461,43993.5
C00501205,1834.95
C00648527,4492.13
C00462697,59273.03
C00581330,5857.38
C00544445,16131.09
C00632257,78876.13
C00637827,10587.42
C00675678,544.6
C00543892,36280.26
C00591065,107875.39
C00646455,8113.17
C00410761,39688.68
C00614057,1300
C00676668,696.35
C00666677,1406.8600000000001
C00652693,16810.19
C00462556,71159.84
C00667519,15021.56
C00658922,1226.51
C00444968,17686.02
C00639807,3500
C00651851,3295.46
C00637223,1616.18
C00658328,4970.52
C00680918,18438.28
C00661900,522.53
C00675041,3116.05
C00482737,77085.42
C00648170,2261.69
C00669358,19007.46
C00674143,673.42
C00655647,11080.55
C00575126,30470.4
C00658492,16436.76
C00646745,66646.35
C00673384,21644.76
C00669614,32.35
C00657650,8592.06
C00461061,62240.37
C00678557,10743.75
C00670034,2326.58
C00664508,133
C00637231,1634.62
C00665356,1599.77
C00667378,1007.9
C00636571,24568.09
C00660597,1059.1299999999999
C00583781,698.24
C00657098,21034.5
C00664490,4110.86
C00460063,164247.21
C00326363,296437.69
C00652156,705.36
C00671891,14954.34
C00649400,10532.67
C00635797,1205
C00651471,6743.61
C00650648,26216.6
C00636860,2162.6
C00671446,6224.85
C00437913,70720.89
C00553859,13001.3
C00607838,94030.68
C00639799,542.84
C00639872,350
C00649210,585.6600000000001
C00639146,6501.03
C00674325,1640
C00666966,12953.8
C00511568,12697.72
C00668269,1891.94
C00464073,3162.49
C00512236,36428.44
C00255562,92563.66
C00639641,14547.43
C00688424,15547.54
C00482307,1950
C00512202,2611
C00672162,3684.41
C00476564,31604.66
C00652743,23527
C00680462,1638.02
C00652149,3789.99
C00666941,7349.58
C00510164,5339.81
C00633669,653.04
C00397505,52580.54
C00678656,1035.09
C00673327,864
C00559393,32195.11
C00631945,146833.91
C00672345,1383.19
C00659797,713.26
C00673319,1750
C00467522,46916.32
C00415182,11740.67
C00528182,64662.75
C00660795,111601.63
C00662668,5305.34
C00655910,14847.67
C00649194,5166.91
C00653659,30636.38
C00441295,70613.22
C00664375,27561.43
C00667329,12524.84
C00665216,202.39
C00651604,4750.21
C00658286,1690.81
C00651653,965.28
C00635045,1271.7
C00669879,500
C00648907,7673.98
C00561597,32197.97
C00663070,12667.89
C00649392,882.98
C00682690,310
C00477323,81765.1
C00650994,1659.85
C00655860,3129.7
C00469882,5649
C00673905,1750
C00667386,452.07
C00392688,24579.75
C00510461,105345.99
C00658807,13812.23
C00641381,20901.21
C00640151,12601.73
C00638767,2529
C00649913,54143.22
C00630798,538.14
C00661892,1323.08
C00577353,1321.95
C00655514,2000
C00655902,5341.98
C00401034,23858.96
C00670737,3693.08
C00662650,77773.43
C00653576,25301.12
C00652065,8103.76
C00573378,10926.369999999999
C00607846,540
C00657601,4394.68
C00666453,1956
C00673426,400
C00641001,2557.98
C00650028,1131.96
C00398644,13002.95
C00582635,60
C00512970,51331.21
C00655613,12617.96
C00649707,3332.58
C00634212,38069.69
C00657106,4412.61
C00442921,39175.41
C00641498,28691.68
C00592469,3500
C00660977,2584.7799999999997
C00621920,1000
C00650242,1765.05
C00662080,250
C00464602,24532.26
C00521948,23134.99
C00677096,6551.85
C00552588,12318.69
C00651497,5401.49
C00658633,18229.53
C00370056,155612.97
C00664565,2088.36
C00658583,5415.47
C00677666,1692.8799999999999
C00676627,2100
C00459297,210473.19
C00546358,9256.6
C00496760,53050.18
C00656280,8792.21
C00575092,51037.25
C00664763,819.61
C00668939,229.69
C00435099,7908.74
C00385773,117604.1
C00512426,4086.8
C00410969,49020.32
C00419978,2082.9700000000003
C00156612,16945
C00405431,1810.94
C00476291,17515.3
C00677898,35715.4
C00672113,3
C00678532,1861.83
C00632059,2147.4700000000003
C00632067,45618.24
C00665869,165.27
C00659177,12774.1
C00667436,8988.39
C00667758,962.5
C00575050,142686.92
C00662577,13241.34
C00438697,5480
C00662684,500
C00668160,590.8299999999999
C00518654,3102.51
C00641035,3807.51
C00458679,237589.11
C00665364,8226.46
C00450049,44372.36
C00655548,9044.79
C00656744,3750.22
C00476820,53170.45
C00653121,4849.25
C00561530,138257.15
C00662874,1846.25
C00556365,146338.92
C00443689,45575.67
C00373001,26423.19
C00662619,18832.6
C00614214,40910.44
C00639559,1314.3
C00577999,6079.64
C00590463,21733.11
C00662940,3133.75
C00166504,30231.71
C00662981,300
C00653915,75.92
C00673236,400
C00652958,5932.91
C00572859,3254.86
C00671081,229.98
C00659292,500
C00513077,41066.76
C00650507,17589.56
C00573949,14535.39
C00649483,15651.04
C00663591,8117.54
C00670505,1312.41
C00631572,18922.5
C00638403,70
C00647057,13130.43
C00520379,22831.71
C00639526,12048.09
C00639419,35073.72
C00372532,4206
C00660555,21754.72
C00516666,115361.48
C00635870,2392.32
C00371302,37460.77
C00661769,7401.96
C00665588,837.23
C00664151,5582.37
C00652719,41672.79
C00649079,14197.54
C00408534,183887.35
C00649798,17922.37
C00636779,1250
C00467571,300
C00668194,1188.82
C00617662,69548.95
C00285171,55465.26
C00683888,1199.98
C00667741,7371.52
C00638510,32844.57
C00582296,8326.62
C00649897,8301.81
C00664797,2726.75
C00574640,14264.66
C00687749,1000
C00540617,45944.3
C00671982,1289.65
C00253187,51290.729999999996
C00661561,55740.72
C00646752,11115.01
C00649327,6026.32
C00607200,85707.83
C00592048,38042.74
C00633982,22543.17
C00541862,366997.18
C00637462,167.48000000000002
C00541888,26487.09
C00460550,51423.06
C00634709,23131.38
C00083428,3854.0099999999998
C00660472,16397.05
C00610964,32937.11
C00545673,16261.4
C00462143,45101.82
C00650705,2589.08
C00660852,2235.47
C00651042,22436.29
C00652107,11867.21
C00555813,75008.99
C00386532,8450.16
C00635722,11152.4
C00650457,15577.67
C00666420,661.6
C00659326,329
C00653840,1531.8500000000001
C00636845,6373.82
C00650036,1385.86
C00638478,1341.7
C00661009,1500
C00660720,2678.8
C00613497,3330.66
C00647198,250
C00660217,1000
C00639252,3652.27
C00658500,3627.18
C00650887,2952.8599999999997
C00154625,8821.16
C00652800,14672.07
C00641175,2861.5
C00656066,6942.75
C00652271,3256.14
C00654558,3983.25
C00649947,3825.15
C00519355,3479.5
C00558510,27021.239999999998
C00607416,4415.97
C00648683,1338.78
C00652214,731.94
C00660340,414.44
C00639310,19738.56
C00648915,11805.04
C00661637,34843.93
C00633610,85250.99
C00640409,2219.74
C00657833,2034
C00657486,1426.84
C00652784,1426.91
C00612432,3005.38
C00629659,8814.42
C00647131,18315.27
C00635888,37399.9
C00257121,11114
C00649863,2691.63
C00543363,24830.62
C00652669,124.95
C00588764,34726.25
C00661165,112615.35
C00634923,3318.03
C00662841,1422.92
C00637074,12660.04
C00654178,8007.24
C00590307,222.44
C00655175,3881.82
C00663435,2206.95
C00629881,2671.71
C00658062,1440.4
C00605592,78795.85
C00653816,11453.84
C00384057,179412.44
C00639005,2595.63
C00649236,7989.21
C00573980,61581.17
C00653550,3264.45
C00652495,900
C00614776,10159.08
C00652776,4983.32
C00650689,20823.91
C00612796,1189.9
C00662171,9514.18
C00343871,74411.13
C00654749,2999.69
C00597724,13675.21
C00662601,6976.54
C00392670,20536.73
C00650523,1828.6399999999999
C00652636,7339.29
C00639211,3030.63
C00640896,5992.65
C00638726,12674.09
C00327023,4796.86
C00640474,1421.36
