district_raw,state_full,state_abrev,district_num,region,dem,dem_id,dem_per,gop,gop_id,gop_edit,hold_flip,winner,win_id,win_per,loser,lose_id,lose_per,delta
Alabama District 1,Alabama,AL,1,south,Kennedy,H8AL01066,36.8,Byrne,H4AL01123,63.2,GOP Hold,Byrne,H4AL01123,63.2,Kennedy,H8AL01066,36.8,26.4
Alabama District 2,Alabama,AL,2,south,Isner,H8AL02197,38.5,Roby,H0AL02087,61.5,GOP Hold,Roby,H0AL02087,61.5,Isner,H8AL02197,38.5,23
Alabama District 3,Alabama,AL,3,south,Hagan,H8AL03054,36.2,Rogers,H2AL03032,63.8,GOP Hold,Rogers,H2AL03032,63.8,Hagan,H8AL03054,36.2,27.6
Alabama District 4,Alabama,AL,4,south,Auman,H8AL04094,20.1,Aderholt,H6AL04098,79.9,GOP Hold,Aderholt,H6AL04098,79.9,Auman,H8AL04094,20.1,59.8
Alabama District 5,Alabama,AL,5,south,Joffrion,H8AL05190,38.9,Brooks,H0AL05163,61.1,GOP Hold,Brooks,H0AL05163,61.1,Joffrion,H8AL05190,38.9,22.2
Alabama District 6,Alabama,AL,6,south,Kline,H8AL06099,30.8,Palmer,H4AL06098,69.2,GOP Hold,Palmer,H4AL06098,69.2,Kline,H8AL06099,30.8,38.4
Alabama District 7,Alabama,AL,7,south,Sewell,H0AL07086,0,NA,NA,NA,Dem Hold,Sewell,H0AL07086,97.8,NA,NA,NA,97.8
Alaska District 1,Alaska,AK,1,west,NA,NA,NA,Young,H6AK00045,53.3,GOP Hold,Young,H6AK00045,53.3,Galvin,H8AK00140,46.5,6.8
Arizona District 1,Arizona,AZ,1,west,O'Halleran,H6AZ01199,53.8,Rogers,H2AZ09035,46.2,Dem Hold,O'Halleran,H6AZ01199,53.8,Rogers,H2AZ09035,46.2,7.6
Arizona District 2,Arizona,AZ,2,west,Kirkpatrick,H8AZ01104,54.7,Marquez Peterson,H8AZ02185,45.3,Dem Pickup,Kirkpatrick,H8AZ01104,54.7,Marquez Peterson,H8AZ02185,45.3,9.4
Arizona District 3,Arizona,AZ,3,west,Grijalva,H2AZ07070,63.9,Pierson,H8AZ03159,36.1,Dem Hold,Grijalva,H2AZ07070,63.9,Pierson,H8AZ03159,36.1,27.8
Arizona District 4,Arizona,AZ,4,west,Brill,H8AZ04140,30.5,Gosar,H0AZ01259,68.2,GOP Hold,Gosar,H0AZ01259,68.2,Brill,H8AZ04140,30.5,37.7
Arizona District 5,Arizona,AZ,5,west,Greene,H8AZ05154,40.6,Biggs,H6AZ05083,59.4,GOP Hold,Biggs,H6AZ05083,59.4,Greene,H8AZ05154,40.6,18.8
Arizona District 6,Arizona,AZ,6,west,Malik,H8AZ06103,44.8,Schweikert,H4AZ06045,55.2,GOP Hold,Schweikert,H4AZ06045,55.2,Malik,H8AZ06103,44.8,10.4
Arizona District 7,Arizona,AZ,7,west,Gallego,H4AZ07043,85.8,NA,NA,NA,Dem Hold,Gallego,H4AZ07043,85.8,Swing,H6AZ02213,14.2,71.6
Arizona District 8,Arizona,AZ,8,west,Tipirneni,H8AZ08083,44.5,Lesko,H8AZ08158,55.5,GOP Hold,Lesko,H8AZ08158,55.5,Tipirneni,H8AZ08083,44.5,11
Arizona District 9,Arizona,AZ,9,west,Stanton,H8AZ09040,61.1,Ferrara,H8AZ09024,38.9,Dem Hold,Stanton,H8AZ09040,61.1,Ferrara,H8AZ09024,38.9,22.2
Arkansas District 1,Arkansas,AR,1,south,Desai,H8AR01029,28.8,Crawford,H0AR01083,68.9,GOP Hold,Crawford,H0AR01083,68.9,Desai,H8AR01029,28.8,40.1
Arkansas District 2,Arkansas,AR,2,south,Tucker,H8AR02159,45.8,Hill,H4AR02141,52.1,GOP Hold,Hill,H4AR02141,52.1,Tucker,H8AR02159,45.8,6.3
Arkansas District 3,Arkansas,AR,3,south,Mahony,H8AR03074,32.6,Womack,H0AR03055,64.8,GOP Hold,Womack,H0AR03055,64.8,Mahony,H8AR03074,32.6,32.2
Arkansas District 4,Arkansas,AR,4,south,Shamel,H8AR04130,31.3,Westerman,H0AR03055,66.8,GOP Hold,Westerman,H0AR03055,66.8,Shamel,H8AR04130,31.3,35.5
California District 1,California,CA,1,west,Denney,H8CA01257,45.1,LaMalfa,H2CA02142,54.9,GOP Hold,LaMalfa,H2CA02142,54.9,Denney,H8CA01257,45.1,9.8
California District 2,California,CA,2,west,Huffman,H2CA06259,77,Mensing,H4CA02098,23,Dem Hold,Huffman,H2CA06259,77,Mensing,H4CA02098,23,54
California District 3,California,CA,3,west,Garamendi,H0CA10149,58.1,Schaupp,H6CA03067,41.9,Dem Hold,Garamendi,H0CA10149,58.1,Schaupp,H6CA03067,41.9,16.2
California District 4,California,CA,4,west,Morse,H8CA04210,45.9,McClintock,H8CA04152,54.1,GOP Hold,McClintock,H8CA04152,54.1,Morse,H8CA04210,45.9,8.2
California District 5,California,CA,5,west,Thompson,H8CA01109,78.9,NA,NA,NA,Dem Hold,Thompson,H8CA01109,78.9,Mills,H8CA05209,21.1,57.8
California District 6,California,CA,6,west,Matsui,H6CA05195,80.4,NA,NA,NA,Dem Hold,Matsui,H6CA05195,80.4,Jefferson,H8CA06090,19.6,60.8
California District 7,California,CA,7,west,Bera,H0CA03078,55,Grant,H8CA07056,45,Dem Hold,Bera,H0CA03078,55,Grant,H8CA07056,45,10
California District 8,California,CA,8,west,NA,NA,NA,Cook,H2CA08164,60,GOP Hold,Cook,H2CA08164,60,Donnelly,H8CA08120,40,20
California District 9,California,CA,9,west,McNerney,H4CA11081,56.5,Livengood,H8CA09144,43.5,Dem Hold,McNerney,H4CA11081,56.5,Livengood,H8CA09144,43.5,13
California District 10,California,CA,10,west,Harder,H8CA10126,52.3,Denham,H0CA19173,47.7,Dem Pickup,Harder,H8CA10126,52.3,Denham,H0CA19173,47.7,4.6
California District 11,California,CA,11,west,DeSaulnier,H0CA10073,74.1,Fitzgerald,H0CA07111,25.9,Dem Hold,DeSaulnier,H0CA10073,74.1,Fitzgerald,H0CA07111,25.9,48.2
California District 12,California,CA,12,west,Pelosi,H8CA05035,86.8,Remmer,H8CA12270,13.2,Dem Hold,Pelosi,H8CA05035,86.8,Remmer,H8CA12270,13.2,73.6
California District 13,California,CA,13,west,Lee,H8CA09060,88.4,NA,NA,NA,Dem Hold,Lee,H8CA09060,88.4,Wells,H8CA13096,11.6,76.8
California District 14,California,CA,14,west,Speier,H8CA12171,79.2,Osmena,H8CA14185,20.8,Dem Hold,Speier,H8CA12171,79.2,Osmena,H8CA14185,20.8,58.4
California District 15,California,CA,15,west,Swalwell,H2CA15094,73,Peters,H8CA15117,27,Dem Hold,Swalwell,H2CA15094,73,Peters,H8CA15117,27,46
California District 16,California,CA,16,west,Costa,H4CA20082,57.5,Heng,H8CA16065,42.5,Dem Hold,Costa,H4CA20082,57.5,Heng,H8CA16065,42.5,15
California District 17,California,CA,17,west,Khanna,H4CA12055,75.3,Cohen,H6CA17141,24.7,Dem Hold,Khanna,H4CA12055,75.3,Cohen,H6CA17141,24.7,50.6
California District 18,California,CA,18,west,Eshoo,H8CA12098,74.5,Russell,H8CA18087,25.5,Dem Hold,Eshoo,H8CA12098,74.5,Russell,H8CA18087,25.5,49
California District 19,California,CA,19,west,Lofgren,H4CA16049,73.8,Aguilera,H8CA19051,26.2,Dem Hold,Lofgren,H4CA16049,73.8,Aguilera,H8CA19051,26.2,47.6
California District 20,California,CA,20,west,Panetta,H6CA20152,81.4,NA,NA,NA,Dem Hold,Panetta,H6CA20152,81.4,Kabat,H0CA17185,18.6,62.8
California District 21,California,CA,21,west,Cox,H8CA10167,50.4,Valadao,H2CA20094,49.6,Dem Pickup,Cox,H8CA10167,50.4,Valadao,H2CA20094,49.6,0.8
California District 22,California,CA,22,west,Janz,H8CA22139,47.3,Nunes,H8CA20059,52.7,GOP Hold,Nunes,H8CA20059,52.7,Janz,H8CA22139,47.3,5.4
California District 23,California,CA,23,west,Matta,H8CA23103,36.3,McCarthy,H6CA22125,63.7,GOP Hold,McCarthy,H6CA22125,63.7,Matta,H8CA23103,36.3,27.4
California District 24,California,CA,24,west,Carbajal,H6CA24303,58.6,Fareed,H4CA24142,41.4,Dem Hold,Carbajal,H6CA24303,58.6,Fareed,H4CA24142,41.4,17.2
California District 25,California,CA,25,west,Hill,H8CA25074,54.4,Knight,H4CA25123,45.6,Dem Pickup,Hill,H8CA25074,54.4,Knight,H4CA25123,45.6,8.8
California District 26,California,CA,26,west,Brownley,H2CA00120,61.9,Sabato,H8CA26114,38.1,Dem Hold,Brownley,H2CA00120,61.9,Sabato,H8CA26114,38.1,23.8
California District 27,California,CA,27,west,Chu,H0CA32101,79.2,NA,NA,NA,Dem Hold,Chu,H0CA32101,79.2,Witt,H8CA27112,20.8,58.4
California District 28,California,CA,28,west,Schiff,H0CA27085,78.4,Nalbandian,H8CA28185,21.6,Dem Hold,Schiff,H0CA27085,78.4,Nalbandian,H8CA28185,21.6,56.8
California District 29,California,CA,29,west,Cardenas,H2CA28113,80.6,Bernal,H6CA29203,19.4,Dem Hold,Cardenas,H2CA28113,80.6,Bernal,H6CA29203,19.4,61.2
California District 30,California,CA,30,west,Sherman,H6CA24113,73.4,Reed,H0CA27101,26.6,Dem Hold,Sherman,H6CA24113,73.4,Reed,H0CA27101,26.6,46.8
California District 31,California,CA,31,west,Aguilar,H2CA31125,58.7,Flynn,H6CA31134,41.3,Dem Hold,Aguilar,H2CA31125,58.7,Flynn,H6CA31134,41.3,17.4
California District 32,California,CA,32,west,Napolitano,H8CA34068,68.8,Scott,H8CA32088,31.2,Dem Hold,Napolitano,H8CA34068,68.8,Scott,H8CA32088,31.2,37.6
California District 33,California,CA,33,west,Lieu,H4CA33119,70,Wright,H6CA33106,30,Dem Hold,Lieu,H4CA33119,70,Wright,H6CA33106,30,40
California District 34,California,CA,34,west,Gomez,H8CA34266,72.5,NA,NA,NA,Dem Hold,Gomez,H8CA34266,72.5,Mejia,H6CA34237,27.5,45
California District 35,California,CA,35,west,Torres,H4CA35031,69.4,Valiente,H8CA35115,30.6,Dem Hold,Torres,H4CA35031,69.4,Valiente,H8CA35115,30.6,38.8
California District 36,California,CA,36,west,Ruiz,H2CA36439,59,Pelzer,H8CA36170,41,Dem Hold,Ruiz,H2CA36439,59,Pelzer,H8CA36170,41,18
California District 37,California,CA,37,west,Bass,H0CA33117,89.1,Bassilian,H8CA37293,10.9,Dem Hold,Bass,H0CA33117,89.1,Bassilian,H8CA37293,10.9,78.2
California District 38,California,CA,38,west,Sanchez,H2CA39078,68.9,Downing,H4CA31105,31.1,Dem Hold,Sanchez,H2CA39078,68.9,Downing,H4CA31105,31.1,37.8
California District 39,California,CA,39,west,Cisneros,H8CA39174,51.6,Kim,H8CA39240,48.4,Dem Pickup,Cisneros,H8CA39174,51.6,Kim,H8CA39240,48.4,3.2
California District 40,California,CA,40,west,Roybal-Allard,H2CA33048,77.3,NA,NA,NA,Dem Hold,Roybal-Allard,H2CA33048,77.3,Barragan,H8CA40206,22.7,54.6
California District 41,California,CA,41,west,Takano,H2CA43245,65.1,Smith,H8CA41170,34.9,Dem Hold,Takano,H2CA43245,65.1,Smith,H8CA41170,34.9,30.2
California District 42,California,CA,42,west,Peacock,H8CA42228,43.5,Calvert,H2CA37023,56.5,GOP Hold,Calvert,H2CA37023,56.5,Peacock,H8CA42228,43.5,13
California District 43,California,CA,43,west,Waters,H4CA23011,77.7,Navarro,H6CA44145,22.3,Dem Hold,Waters,H4CA23011,77.7,Navarro,H6CA44145,22.3,55.4
California District 44,California,CA,44,west,Barragan,H6CA44103,68.3,NA,NA,NA,Dem Hold,Barragan,H6CA44103,68.3,Brown,H8CA44117,31.7,36.6
California District 45,California,CA,45,west,Porter,H8CA45130,52.1,Walters,H4CA45097,47.9,Dem Pickup,Porter,H8CA45130,52.1,Walters,H4CA45097,47.9,4.2
California District 46,California,CA,46,west,Correa,H6CA46116,69.1,Lambert,H8CA46120,30.9,Dem Hold,Correa,H6CA46116,69.1,Lambert,H8CA46120,30.9,38.2
California District 47,California,CA,47,west,Lowenthal,H2CA00104,64.9,Briscoe,H8CA47078,35.1,Dem Hold,Lowenthal,H2CA00104,64.9,Briscoe,H8CA47078,35.1,29.8
California District 48,California,CA,48,west,Rouda,H8CA48035,53.6,Rohrabacher,H8CA42061,46.4,Dem Pickup,Rouda,H8CA48035,53.6,Rohrabacher,H8CA42061,46.4,7.2
California District 49,California,CA,49,west,Levin,H8CA49058,56.4,Harkey,H8CA49082,43.6,Dem Pickup,Levin,H8CA49058,56.4,Harkey,H8CA49082,43.6,12.8
California District 50,California,CA,50,west,Campa-Najjar,H8CA50098,48.3,Hunter,H8CA52052,51.7,GOP Hold,Hunter,H8CA52052,51.7,Campa-Najjar,H8CA50098,48.3,3.4
California District 51,California,CA,51,west,Vargas,H2CA50026,71.2,Hidalgo,H8CA51062,28.8,Dem Hold,Vargas,H2CA50026,71.2,Hidalgo,H8CA51062,28.8,42.4
California District 52,California,CA,52,west,Peters,H2CA52089,63.8,Qudrat,H8CA52102,36.2,Dem Hold,Peters,H2CA52089,63.8,Qudrat,H8CA52102,36.2,27.6
California District 53,California,CA,53,west,Davis,H0CA49055,69.1,Murtaugh,H8CA53084,30.9,Dem Hold,Davis,H0CA49055,69.1,Murtaugh,H8CA53084,30.9,38.2
Colorado District 1,Colorado,CO,1,west,DeGette,H6CO01141,73.8,Stockham,H8CO01162,23,Dem Hold,DeGette,H6CO01141,73.8,Stockham,H8CO01162,23,50.8
Colorado District 2,Colorado,CO,2,west,Neguse,H8CO02160,60.3,Yu,H8CO02251,33.6,Dem Hold,Neguse,H8CO02160,60.3,Yu,H8CO02251,33.6,26.7
Colorado District 3,Colorado,CO,3,west,Mitsch,H8CO03192,NA,Tipton,H6CO03139,51.5,GOP Hold,Tipton,H6CO03139,51.5,Mitsch,H8CO03192,43.6,7.9
Colorado District 4,Colorado,CO,4,west,McCormick,H8CO04091,39.4,Buck,H4CO04090,60.6,GOP Hold,Buck,H4CO04090,60.6,McCormick,H8CO04091,39.4,21.2
Colorado District 5,Colorado,CO,5,west,Spaulding,H8CO05130,39.3,Lamborn,H6CO05159,57,GOP Hold,Lamborn,H6CO05159,57,Spaulding,H8CO05130,39.3,17.7
Colorado District 6,Colorado,CO,6,west,Crow,H8CO06229,54.1,Coffman,H8CO06138,42.9,Dem Pickup,Crow,H8CO06229,54.1,Coffman,H8CO06138,42.9,11.2
Colorado District 7,Colorado,CO,7,west,Perlmutter,H6CO07023,60.4,Barrington,H8CO07094,35.4,Dem Hold,Perlmutter,H6CO07023,60.4,Barrington,H8CO07094,35.4,25
Connecticut District 1,Connecticut,CT,1,northeast,Larson,H8CT01046,63.7,Nye,H8CT01145,35.2,Dem Hold,Larson,H8CT01046,63.7,Nye,H8CT01145,35.2,28.5
Connecticut District 2,Connecticut,CT,2,northeast,Courtney,H2CT02112,62.1,Postemski,H8CT02101,35.5,Dem Hold,Courtney,H2CT02112,62.1,Postemski,H8CT02101,35.5,26.6
Connecticut District 3,Connecticut,CT,3,northeast,DeLauro,H0CT03072,64.4,Cadena,H6CT03145,35.6,Dem Hold,DeLauro,H0CT03072,64.4,Cadena,H6CT03145,35.6,28.8
Connecticut District 4,Connecticut,CT,4,northeast,Himes,H8CT04172,60.9,Arora,H8CT04214,39.1,Dem Hold,Himes,H8CT04172,60.9,Arora,H8CT04214,39.1,21.8
Connecticut District 5,Connecticut,CT,5,northeast,Hayes,H8CT05245,55.8,Santos,H8CT05187,44.2,Dem Hold,Hayes,H8CT05245,55.8,Santos,H8CT05187,44.2,11.6
Delaware District 1,Delaware,DE,1,south,Rochester,H6DE00206,64.5,Walker,H6DE00214,35.5,Dem Hold,Rochester,H6DE00206,64.5,Walker,H6DE00214,35.5,29
Florida District 1,Florida,FL,1,south,Zimmerman,H8FL01115,32.9,Gaetz,H6FL01119,67.1,GOP Hold,Gaetz,H6FL01119,67.1,Zimmerman,H8FL01115,32.9,34.2
Florida District 2,Florida,FL,2,south,Rackleff,H8FL02097,32.6,Dunn,H6FL02208,67.4,GOP Hold,Dunn,H6FL02208,67.4,Rackleff,H8FL02097,32.6,34.8
Florida District 3,Florida,FL,3,south,Hinson,H8FL03038,NA,Yoho,H2FL06109,57.6,GOP Hold,Yoho,H2FL06109,57.6,Hayes,H8FL03038,42.4,15.2
Florida District 4,Florida,FL,4,south,Selmont,H8FL04085,32.4,Rutherford,H6FL04105,65.2,GOP Hold,Rutherford,H6FL04105,65.2,Selmont,H8FL04085,32.4,32.8
Florida District 5,Florida,FL,5,south,Lawson,H0FL02086,66.8,Fuller,H8FL05157,33.2,Dem Hold,Lawson,H0FL02086,66.8,Fuller,H8FL05157,33.2,33.6
Florida District 6,Florida,FL,6,south,Soderberg,H8FL06098,43.7,Waltz,H8FL06148,56.3,GOP Hold,Waltz,H8FL06148,56.3,Soderberg,H8FL06098,43.7,12.6
Florida District 7,Florida,FL,7,south,Murphy,H6FL07140,57.7,Miller,H8FL07062,42.3,Dem Hold,Murphy,H6FL07140,57.7,Miller,H8FL07062,42.3,15.4
Florida District 8,Florida,FL,8,south,Patel,H8FL08102,39.5,Posey,H8FL15107,60.5,GOP Hold,Posey,H8FL15107,60.5,Patel,H8FL08102,39.5,21
Florida District 9,Florida,FL,9,south,Soto,H6FL09179,58,Liebnitzky,H6FL09195,42,Dem Hold,Soto,H6FL09179,58,Liebnitzky,H6FL09195,42,16
Florida District 10,Florida,FL,10,south,Demings,H2FL08063,0,NA,NA,NA,Dem Hold,Demings,H2FL08063,100,NA,NA,0,100
Florida District 11,Florida,FL,11,south,Cottrell,H8FL11130,34.8,Webster,H0FL08208,65.2,GOP Hold,Webster,H0FL08208,65.2,Cottrell,H8FL11130,34.8,30.4
Florida District 12,Florida,FL,12,south,Hunter,H8FL12088,39.7,Bilirakis,H6FL09070,58.1,GOP Hold,Bilirakis,H6FL09070,58.1,Hunter,H8FL12088,39.7,18.4
Florida District 13,Florida,FL,13,south,Crist,H6FL13205,57.6,Buck,H8FL13136,42.4,Dem Hold,Crist,H6FL13205,57.6,Buck,H8FL13136,42.4,15.2
Florida District 14,Florida,FL,14,south,Castor,H6FL11126,0,NA,NA,NA,Dem Hold,Castor,H6FL11126,100,NA,NA,0,100
Florida District 15,Florida,FL,15,south,Carlson,H8FL15271,47,Spano,H8FL15230,53,GOP Hold,Spano,H8FL15230,53,Carlson,H8FL15271,47,6
Florida District 16,Florida,FL,16,south,Shapiro,H8FL16055,45.4,Buchanan,H6FL13148,54.6,GOP Hold,Buchanan,H6FL13148,54.6,Shapiro,H8FL16055,45.4,9.2
Florida District 17,Florida,FL,17,south,Freeman-Allen,H4FL19058,NA,Steube,H8FL17053,62.3,GOP Hold,Steube,H8FL17053,62.3,Freeman-Allen,H4FL19058,37.7,24.6
Florida District 18,Florida,FL,18,south,Baer,H8FL18028,45.7,Mast,H6FL18097,54.3,GOP Hold,Mast,H6FL18097,54.3,Baer,H8FL18028,45.7,8.6
Florida District 19,Florida,FL,19,south,Holden,H8FL19067,37.7,Rooney,H6FL19087,62.3,GOP Hold,Rooney,H6FL19087,62.3,Holden,H8FL19067,37.7,24.6
Florida District 20,Florida,FL,20,south,Hastings,H2FL23021,0,NA,NA,NA,Dem Hold,Hastings,H2FL23021,99.9,NA,NA,0,99.9
Florida District 21,Florida,FL,21,south,Frankel,H2FL14053,0,NA,NA,NA,Dem Hold,Frankel,H2FL14053,100,NA,NA,0,100
