district_raw,state_full,state_abrev,district_num,region,dem,dem_id,dem_per,gop,gop_id,gop_edit,hold_flip,winner,win_id,win_per,loser,lose_id,lose_per,delta
Pennsylvania District 2,Pennsylvania,PA,2,northeast,Boyle,H4PA13199,79,Torres,H8PA02110,21,Dem Hold,Boyle,H4PA13199,79,Torres,H8PA02110,21,58
Pennsylvania District 3,Pennsylvania,PA,3,northeast,Evans,H6PA02171,93.4,Leib,H6PA01165,6.6,Dem Hold,Evans,H6PA02171,93.4,Leib,H6PA01165,6.6,86.8
Pennsylvania District 4,Pennsylvania,PA,4,northeast,Dean,H8PA04116,63.5,David,H8PA15286,36.5,Dem Hold,Dean,H8PA04116,63.5,David,H8PA15286,36.5,27
Pennsylvania District 5,Pennsylvania,PA,5,northeast,Scanlon,H8PA07200,65.2,Kim,H8PA05295,34.8,Dem Pickup,Scanlon,H8PA07200,65.2,Kim,H8PA05295,34.8,30.4
Pennsylvania District 6,Pennsylvania,PA,6,northeast,Houlahan,H8PA06087,58.9,McCauley,H8PA07192,41.1,Dem Pickup,Houlahan,H8PA06087,58.9,McCauley,H8PA07192,41.1,17.8
Pennsylvania District 7,Pennsylvania,PA,7,northeast,Wild,H8PA15229,53.5,Nothstein,H8PA15245,43.5,Dem Pickup,Wild,H8PA15229,53.5,Nothstein,H8PA15245,43.5,10
Pennsylvania District 8,Pennsylvania,PA,8,northeast,Cartwright,H2PA17079,54.6,Chrin,H8PA17050,45.4,Dem Hold,Cartwright,H2PA17079,54.6,Chrin,H8PA17050,45.4,9.2
Pennsylvania District 9,Pennsylvania,PA,9,northeast,Wolff,H8PA11095,40.3,Meuser,H8PA10147,59.7,GOP Hold,Meuser,H8PA10147,59.7,Wolff,H8PA11095,40.3,19.4
Pennsylvania District 10,Pennsylvania,PA,10,northeast,Scott,H8PA04090,48.7,Perry,H2PA04135,51.3,GOP Hold,Perry,H2PA04135,51.3,Scott,H8PA04090,48.7,2.6
Pennsylvania District 11,Pennsylvania,PA,11,northeast,King,H8PA16078,41,Smucker,H6PA16320,59,GOP Hold,Smucker,H6PA16320,59,King,H8PA16078,41,18
Pennsylvania District 12,Pennsylvania,PA,12,northeast,Friedenberg,H8PA05204,34,Marino,H0PA10078,66,GOP Hold,Marino,H0PA10078,66,Friedenberg,H8PA05204,34,32
Pennsylvania District 13,Pennsylvania,PA,13,northeast,Ottaway,H8PA13133,29.5,Joyce,H8PA13125,70.5,GOP Hold,Joyce,H8PA13125,70.5,Ottaway,H8PA13133,29.5,41
Pennsylvania District 14,Pennsylvania,PA,14,northeast,Boerio,H8PA14065,42.1,Reschenthaler,H8PA18199,57.9,GOP Pickup,Reschenthaler,H8PA18199,57.9,Boerio,H8PA14065,42.1,15.8
Pennsylvania District 15,Pennsylvania,PA,15,northeast,Boser,H8PA09065,32.2,Thompson,H8PA05071,67.8,GOP Hold,Thompson,H8PA05071,67.8,Boser,H8PA09065,32.2,35.6
Pennsylvania District 16,Pennsylvania,PA,16,northeast,DiNicola,H4PA21069,47.3,Kelly,H0PA03271,51.6,GOP Hold,Kelly,H0PA03271,51.6,DiNicola,H4PA21069,47.3,4.3
Pennsylvania District 17,Pennsylvania,PA,17,northeast,Lamb,H8PA18181,56.3,Rothfus,H0PA04220,43.7,Dem Pickup,Lamb,H8PA18181,56.3,Rothfus,H0PA04220,43.7,12.6
Pennsylvania District 18,Pennsylvania,PA,18,northeast,Doyle,H4PA18131,0,NA,NA,NA,Dem Hold,Doyle,H4PA18131,0,NA,NA,NA,#VALUE!
Rhode Island District 1,Rhode Island,RI,1,northeast,Cicilline,H0RI01073,66.9,Donovan,H8RI01100,33.1,Dem Hold,Cicilline,H0RI01073,66.9,Donovan,H8RI01100,33.1,33.8
Rhode Island District 2,Rhode Island,RI,2,northeast,Langevin,H0RI02139,63.6,Caiozzo,H6RI02284,36.4,Dem Hold,Langevin,H0RI02139,63.6,Caiozzo,H6RI02284,36.4,27.2
South Carolina District 1,South Carolina,SC,1,south,Cunningham,H8SC01116,50.7,Arrington,H8SC01124,49.3,Dem Pickup,Cunningham,H8SC01116,50.7,Arrington,H8SC01124,49.3,1.4
South Carolina District 2,South Carolina,SC,2,south,Carrigan,H8SC02106,42.5,Wilson,H2SC02059,56.3,GOP Hold,Wilson,H2SC02059,56.3,Carrigan,H8SC02106,42.5,13.8
South Carolina District 3,South Carolina,SC,3,south,Geren,H8SC03070,31,Duncan,H0SC03077,67.8,GOP Hold,Duncan,H0SC03077,67.8,Geren,H8SC03070,31,36.8
South Carolina District 4,South Carolina,SC,4,south,Brown,H8SC04300,36.6,Timmons,H8SC04250,59.6,GOP Hold,Timmons,H8SC04250,59.6,Brown,H8SC04300,36.6,23
South Carolina District 5,South Carolina,SC,5,south,Parnell,H8SC05174,41.5,Norman,H8SC05158,57.1,GOP Hold,Norman,H8SC05158,57.1,Parnell,H8SC05174,41.5,15.6
South Carolina District 6,South Carolina,SC,6,south,Clyburn,H2SC02042,70.2,Gressmann,H8SC06107,28.3,Dem Hold,Clyburn,H2SC02042,70.2,Gressmann,H8SC06107,28.3,41.9
South Carolina District 7,South Carolina,SC,7,south,Williams,H8SC07063,40.4,Rice,H2SC07066,59.6,GOP Hold,Rice,H2SC07066,59.6,Williams,H8SC07063,40.4,19.2
South Dakota District 1,South Dakota,SD,1,midwest,Bjorkman,H8SD01097,36,Johnson,H8SD01055,60.3,GOP Hold,Johnson,H8SD01055,60.3,Bjorkman,H8SD01097,36,24.3
Tennessee District 1,Tennessee,TN,1,south,Olsen,H8TN01079,21,Roe,H6TN01388,77.1,GOP Hold,Roe,H6TN01388,77.1,Olsen,H8TN01079,21,56.1
Tennessee District 2,Tennessee,TN,2,south,Hoyos,H8TN02176,33.1,Burchett,H8TN02119,65.9,GOP Hold,Burchett,H8TN02119,65.9,Hoyos,H8TN02176,33.1,32.8
Tennessee District 3,Tennessee,TN,3,south,Mitchell,H8TN03208,34.5,Fleischmann,H0TN03254,63.7,GOP Hold,Fleischmann,H0TN03254,63.7,Mitchell,H8TN03208,34.5,29.2
Tennessee District 4,Tennessee,TN,4,south,Phillips,H8TN04099,33.6,DesJarlais,H0TN04195,63.4,GOP Hold,DesJarlais,H0TN04195,63.4,Phillips,H8TN04099,33.6,29.8
Tennessee District 5,Tennessee,TN,5,south,Cooper,H2TN05131,67.8,Ball,H6TN05314,32.2,Dem Hold,Cooper,H2TN05131,67.8,Ball,H6TN05314,32.2,35.6
Tennessee District 6,Tennessee,TN,6,south,Barlow,H8TN06128,28.3,Rose,H8TN06094,69.5,GOP Hold,Rose,H8TN06094,69.5,Barlow,H8TN06128,28.3,41.2
Tennessee District 7,Tennessee,TN,7,south,Kanew,H8TN07068,32.1,Green,H8TN07076,66.9,GOP Hold,Green,H8TN07076,66.9,Kanew,H8TN07068,32.1,34.8
Tennessee District 8,Tennessee,TN,8,south,Pearson,H6TN08250,30.1,Kustoff,H2TN07103,67.7,GOP Hold,Kustoff,H2TN07103,67.7,Pearson,H6TN08250,30.1,37.6
Tennessee District 9,Tennessee,TN,9,south,Cohen,H6TN09068,80,Bergmann,H8TN09114,19.2,Dem Hold,Cohen,H6TN09068,80,Bergmann,H8TN09114,19.2,60.8
Texas District 1,Texas,TX,1,south,McKellar,H2TX01062,26.3,Gohmert,H4TX04039,72.3,GOP Hold,Gohmert,H4TX04039,72.3,McKellar,H2TX01062,26.3,46
Texas District 2,Texas,TX,2,south,Litton,H8TX02067,45.6,Crenshaw,H8TX02166,52.8,GOP Hold,Crenshaw,H8TX02166,52.8,Litton,H8TX02067,45.6,7.2
Texas District 3,Texas,TX,3,south,Burch,H8TX03099,44.3,Taylor,H8TX03123,54.3,GOP Hold,Taylor,H8TX03123,54.3,Burch,H8TX03099,44.3,10
Texas District 4,Texas,TX,4,south,Krantz,H8TX04162,23,Ratcliffe,H4TX04153,75.7,GOP Hold,Ratcliffe,H4TX04153,75.7,Krantz,H8TX04162,23,52.7
Texas District 5,Texas,TX,5,south,Wood,H8TX05086,37.6,Gooden,H8TX05144,62.4,GOP Hold,Gooden,H8TX05144,62.4,Wood,H8TX05086,37.6,24.8
Texas District 6,Texas,TX,6,south,Sanchez,H8TX06183,45.4,Wright,H8TX06233,53.1,GOP Hold,Wright,H8TX06233,53.1,Sanchez,H8TX06183,45.4,7.7
Texas District 7,Texas,TX,7,south,Fletcher,H8TX07140,52.5,Culberson,H0TX07055,47.5,Dem Pickup,Fletcher,H8TX07140,52.5,Culberson,H0TX07055,47.5,5
Texas District 8,Texas,TX,8,south,David,H8TX08080,24.9,Brady,H6TX08100,73.4,GOP Hold,Brady,H6TX08100,73.4,David,H8TX08080,24.9,48.5
Texas District 9,Texas,TX,9,south,Green,H4TX09095,89.1,NA,NA,NA,Dem Hold,Green,H4TX09095,89.1,NA,NA,NA,89.1
Texas District 10,Texas,TX,10,south,Siegel,H8TX10110,46.8,McCaul,H4TX10093,51.1,GOP Hold,McCaul,H4TX10093,51.1,Siegel,H8TX10110,46.8,4.3
Texas District 11,Texas,TX,11,south,Leeder,H8TX11100,18.4,Conaway,H4TX19136,80.1,GOP Hold,Conaway,H4TX19136,80.1,Leeder,H8TX11100,18.4,61.7
Texas District 12,Texas,TX,12,south,Adia,H8TX12074,33.9,Granger,H6TX12060,64.3,GOP Hold,Granger,H6TX12060,64.3,Adia,H8TX12074,33.9,30.4
Texas District 13,Texas,TX,13,south,Sagan,H8TX13163,16.9,Thornberry,H4TX13014,81.5,GOP Hold,Thornberry,H4TX13014,81.5,Sagan,H8TX13163,16.9,64.6
Texas District 14,Texas,TX,14,south,Bell,H8TX14120,39.3,Weber,H2TX14149,59.2,GOP Hold,Weber,H2TX14149,59.2,Bell,H8TX14120,39.3,19.9
Texas District 15,Texas,TX,15,south,Gonzalez,H6TX15162,59.7,Westley,H6TX15204,38.8,Dem Hold,Gonzalez,H6TX15162,59.7,Westley,H6TX15204,38.8,20.9
Texas District 16,Texas,TX,16,south,Escobar,H8TX16109,68.5,Seeberger,H8TX16133,27,Dem Hold,Escobar,H8TX16109,68.5,Seeberger,H8TX16133,27,41.5
Texas District 17,Texas,TX,17,south,Kennedy,H8TX17149,41.3,Flores,H0TX17104,56.8,GOP Hold,Flores,H0TX17104,56.8,Kennedy,H8TX17149,41.3,15.5
Texas District 18,Texas,TX,18,south,Lee,H4TX18054,NA,Pate,H6TX18158,20.8,Dem Hold,Jackson,H4TX18054,75.2,Pate,H6TX18158,20.8,54.4
Texas District 19,Texas,TX,19,south,Levario,H8TX19111,24.8,Arrington,H6TX19099,75.2,GOP Hold,Arrington,H6TX19099,75.2,Levario,H8TX19111,24.8,50.4
Texas District 20,Texas,TX,20,south,Castro,H2TX35011,80.9,NA,NA,NA,Dem Hold,Castro,H2TX35011,80.9,Blunt,H8TX21125,19.1,61.8
Texas District 21,Texas,TX,21,south,Kopser,H8TX21190,47.6,Roy,H8TX21307,50.2,GOP Hold,Roy,H8TX21307,50.2,Kopser,H8TX21190,47.6,2.6
Texas District 22,Texas,TX,22,south,Kulkarni,H8TX22313,46.5,Olson,H8TX22107,51.4,GOP Hold,Olson,H8TX22107,51.4,Kulkarni,H8TX22313,46.5,4.9
Texas District 23,Texas,TX,23,south,Jones,H8TX23121,NA,Hurd,H0TX23086,49.2,GOP Hold,Hurd,H0TX23086,49.2,Ortiz,H8TX23121,48.7,0.5
Texas District 24,Texas,TX,24,south,McDowell,H6TX24149,47.5,Marchant,H4TX24094,50.6,GOP Hold,Marchant,H4TX24094,50.6,McDowell,H6TX24149,47.5,3.1
Texas District 25,Texas,TX,25,south,Oliver,H8TX25159,44.8,Williams,H2TX33040,53.5,GOP Hold,Williams,H2TX33040,53.5,Oliver,H8TX25159,44.8,8.7
Texas District 26,Texas,TX,26,south,Fagan,H8TX26124,39,Burgess,H2TX26093,59.4,GOP Hold,Burgess,H2TX26093,59.4,Fagan,H8TX26124,39,20.4
Texas District 27,Texas,TX,27,south,Holguin,H8TX27056,36.6,Cloud,H8TX27049,60.3,GOP Hold,Cloud,H8TX27049,60.3,Holguin,H8TX27056,36.6,23.7
Texas District 28,Texas,TX,28,south,Cuellar,H2TX23082,84.4,NA,NA,NA,Dem Hold,Cuellar,H2TX23082,84.4,Thomas,H8TX28211,15.6,68.8
Texas District 29,Texas,TX,29,south,Garcia,H8TX29052,75.1,Aronoff,H8TX29094,23.9,Dem Hold,Garcia,H8TX29052,75.1,Aronoff,H8TX29094,23.9,51.2
Texas District 30,Texas,TX,30,south,Johnson,H2TX00015,91.1,NA,NA,NA,Dem Hold,Johnson,H2TX00015,91.1,Jones,H8TX30050,8.9,82.2
Texas District 31,Texas,TX,31,south,Hegar,H8TX31058,47.7,Carter,H2TX31044,50.6,GOP Hold,Carter,H2TX31044,50.6,Hegar,H8TX31058,47.7,2.9
Texas District 32,Texas,TX,32,south,Allred,H8TX32098,52.3,Sessions,H2TX03126,45.8,Dem Pickup,Allred,H8TX32098,52.3,Sessions,H2TX03126,45.8,6.5
Texas District 33,Texas,TX,33,south,Veasey,H2TX33073,76.2,Billups,H8TX33021,21.9,Dem Hold,Veasey,H2TX33073,76.2,Billups,H8TX33021,21.9,54.3
Texas District 34,Texas,TX,34,south,Vela,H2TX27190,60,Gonzalez,H6TX34031,40,Dem Hold,Vela,H2TX27190,60,Gonzalez,H6TX34031,40,20
Texas District 35,Texas,TX,35,south,Doggett,H4TX10028,71.3,Smalling,H8TX35026,26,Dem Hold,Doggett,H4TX10028,71.3,Smalling,H8TX35026,26,45.3
Texas District 36,Texas,TX,36,south,Steele,H8TX36024,27.4,Babin,H6TX02079,72.6,GOP Hold,Babin,H6TX02079,72.6,Steele,H8TX36024,27.4,45.2
Utah District 1,Utah,UT,1,west,Castillo,H8UT01158,24.9,Bishop,H2UT01094,61.6,GOP Hold,Bishop,H2UT01094,61.6,Castillo,H8UT01158,24.9,36.7
Utah District 2,Utah,UT,2,west,Ghorbani,H8UT02255,38.9,Stewart,H2UT02324,56.1,GOP Hold,Stewart,H2UT02324,56.1,Ghorbani,H8UT02255,38.9,17.2
Utah District 3,Utah,UT,3,west,Singer,H8UT03402,27.3,Curtis,H8UT03238,67.5,GOP Hold,Curtis,H8UT03238,67.5,Singer,H8UT03402,27.3,40.2
Utah District 4,Utah,UT,4,west,McAdams,H8UT04053,50.1,Love,H2UT04023,49.9,Dem Pickup,McAdams,H8UT04053,50.1,Love,H2UT04023,49.9,0.2
Vermont District 1,Vermont,VT,1,northeast,Welch,H6VT00160,69.2,Tynio,H8VT01065,26,Dem Hold,Welch,H6VT00160,69.2,Tynio,H8VT01065,26,43.2
Virginia District 1,Virginia,VA,1,south,Williams,H8VA01303,44.8,Wittman,H8VA01147,55.2,GOP Hold,Wittman,H8VA01147,55.2,Williams,H8VA01303,44.8,10.4
Virginia District 2,Virginia,VA,2,south,Luria,H8VA02111,51.1,Taylor,H0VA02118,48.9,Dem Pickup,Luria,H8VA02111,51.1,Taylor,H0VA02118,48.9,2.2
Virginia District 3,Virginia,VA,3,south,Scott,H6VA01117,0,NA,NA,NA,Dem Hold,Scott,H6VA01117,0,NA,NA,8.8,-8.8
Virginia District 4,Virginia,VA,4,south,McEachin,H6VA04061,62.6,McAdams,H8VA04026,36,Dem Hold,McEachin,H6VA04061,62.6,McAdams,H8VA04026,36,26.6
Virginia District 5,Virginia,VA,5,south,Cockburn,H8VA05155,46.7,Riggleman,H8VA05171,53.3,GOP Hold,Riggleman,H8VA05171,53.3,Cockburn,H8VA05155,46.7,6.6
Virginia District 6,Virginia,VA,6,south,Lewis,H8VA06195,40.2,Cline,H8VA06104,59.8,GOP Hold,Cline,H8VA06104,59.8,Lewis,H8VA06195,40.2,19.6
Virginia District 7,Virginia,VA,7,south,Spanberger,H8VA07094,50.4,Brat,H4VA07143,48.4,Dem Pickup,Spanberger,H8VA07094,50.4,Brat,H4VA07143,48.4,2
Virginia District 8,Virginia,VA,8,south,Beyer,H4VA08224,76.3,Oh,H8VA08159,23.7,Dem Hold,Beyer,H4VA08224,76.3,Oh,H8VA08159,23.7,52.6
Virginia District 9,Virginia,VA,9,south,Flaccavento,H8VA09066,34.8,Griffith,H0VA09055,65.2,GOP Hold,Griffith,H0VA09055,65.2,Flaccavento,H8VA09066,34.8,30.4
Virginia District 10,Virginia,VA,10,south,Wexton,H8VA10106,56.2,Comstock,H4VA10089,43.8,Dem Pickup,Wexton,H8VA10106,56.2,Comstock,H4VA10089,43.8,12.4
Virginia District 11,Virginia,VA,11,south,Connolly,H8VA11062,71.2,Dove,H8VA11070,27,Dem Hold,Connolly,H8VA11062,71.2,Dove,H8VA11070,27,44.2
Washington District 1,Washington,WA,1,west,DelBene,H0WA08046,59.3,Beeler,H8WA01077,40.7,Dem Hold,DelBene,H0WA08046,59.3,Beeler,H8WA01077,40.7,18.6
Washington District 2,Washington,WA,2,west,Larsen,H0WA02080,71.3,NA,NA,NA,Dem Hold,Larsen,H0WA02080,71.3,Luke,H6WA02186,28.7,71.3
Washington District 3,Washington,WA,3,west,Long,H8WA03198,47.3,Herrera Beutler,H0WA03187,52.7,GOP Hold,Herrera Beutler,H0WA03187,52.7,Long,H8WA03198,47.3,5.4
Washington District 4,Washington,WA,4,west,Brown,H8WA04089,37.2,Newhouse,H4WA04104,62.8,GOP Hold,Newhouse,H4WA04104,62.8,Brown,H8WA04089,37.2,25.6
Washington District 5,Washington,WA,5,west,Brown,H8WA05193,45.2,McMorris Rodgers,H4WA05077,54.8,GOP Hold,McMorris Rodgers,H4WA05077,54.8,Brown,H8WA05193,45.2,9.6
Washington District 6,Washington,WA,6,west,Kilmer,H2WA06129,63.9,Dightman,H8WA06100,36.1,Dem Hold,Kilmer,H2WA06129,63.9,Dightman,H8WA06100,36.1,27.8
Washington District 7,Washington,WA,7,west,Jayapal,H6WA07458,83.6,Keller,H4WA07073,16.4,Dem Hold,Jayapal,H6WA07458,83.6,Keller,H4WA07073,16.4,67.2
Washington District 8,Washington,WA,8,west,Schrier,H8WA08189,52.4,Rossi,H8WA08205,47.6,Dem Pickup,Schrier,H8WA08189,52.4,Rossi,H8WA08205,47.6,4.8
Washington District 9,Washington,WA,9,west,Smith,H6WA09025,67.9,NA,NA,NA,Dem Hold,Smith,H6WA09025,67.9,Smith,H8WA09054,32.1,67.9
Washington District 10,Washington,WA,10,west,Heck,H0WA03161,61.5,Brumbles,H8WA10045,38.5,Dem Hold,Heck,H0WA03161,61.5,Brumbles,H8WA10045,38.5,23
West Virginia District 1,West Virginia,WV,1,south,Fershee,H8WV01075,35.4,McKinley,H0WV01072,64.6,GOP Hold,McKinley,H0WV01072,64.6,Fershee,H8WV01075,35.4,29.2
West Virginia District 2,West Virginia,WV,2,south,Sergent,H8WV02115,42.9,Mooney,H4WV02080,54,GOP Hold,Mooney,H4WV02080,54,Sergent,H8WV02115,42.9,11.1
West Virginia District 3,West Virginia,WV,3,south,Ojeda,H8WV03048,43.6,Miller,H8WV03097,56.4,GOP Hold,Miller,H8WV03097,56.4,Ojeda,H8WV03048,43.6,12.8
Wisconsin District 1,Wisconsin,WI,1,midwest,Bryce,H8WI01123,42.3,Steil,H8WI01156,54.6,GOP Hold,Steil,H8WI01156,54.6,Bryce,H8WI01123,42.3,12.3
Wisconsin District 2,Wisconsin,WI,2,midwest,Pocan,H2WI02124,0,NA,NA,NA,Dem Hold,Pocan,H2WI02124,100,NA,NA,0,100
Wisconsin District 3,Wisconsin,WI,3,midwest,Kind,H6WI03099,59.7,Toft,H8WI03103,40.3,Dem Hold,Kind,H6WI03099,59.7,Toft,H8WI03103,40.3,19.4
Wisconsin District 4,Wisconsin,WI,4,midwest,Moore,H4WI04183,75.7,Rogers,H8WI04069,21.7,Dem Hold,Moore,H4WI04183,75.7,Rogers,H8WI04069,21.7,54
Wisconsin District 5,Wisconsin,WI,5,midwest,Palzewicz,H8WI05165,38,Sensenbrenner,H8WI09050,62,GOP Hold,Sensenbrenner,H8WI09050,62,Palzewicz,H8WI05165,38,24
Wisconsin District 6,Wisconsin,WI,6,midwest,Kohl,H8WI06098,44.5,Grothman,H4WI06048,55.5,GOP Hold,Grothman,H4WI06048,55.5,Kohl,H8WI06098,44.5,11
Wisconsin District 7,Wisconsin,WI,7,midwest,Engebretson,H8WI07096,38.5,Duffy,H0WI07051,60.1,GOP Hold,Duffy,H0WI07051,60.1,Engebretson,H8WI07096,38.5,21.6
Wisconsin District 8,Wisconsin,WI,8,midwest,Liegeois,H8WI08045,36.3,Gallagher,H6WI08155,63.7,GOP Hold,Gallagher,H6WI08155,63.7,Liegeois,H8WI08045,36.3,27.4
Wyoming District 1,Wyoming,WY,1,west,Hunter,H8WY01062,29.8,Cheney,H6WY00159,63.7,GOP Hold,Cheney,H6WY00159,63.7,Hunter,H8WY01062,29.8,33.9